Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
MEX3A_HUMAN	27432	29332.7	29643.2	28310.1	30645.8	29029.1	26673.8	30158.5	25525.7	29880.8	27941.2	28474.1	24755.9	25699.6	25059.7	23141.3	24682.8	27510	23335.2	25964	26646	27047.1	27318	26872.2	23331.1	25875.9	23975.8	26401.9	21585.9	23759
MEX3B_HUMAN	22296.4	24472	24757.4	20684.7	23335	24426.6	25353.9	26030.6	27303.3	26359	23843.1	28719.3	19885.4	19275.1	19263	18940.2	19466.5	17445.6	15901.9	19444.6	23266.8	16613.5	22170.8	18442.6	16223.7	17376.3	27054.7	17441	13717.9	18313.6
MEX3C_HUMAN	1775.45	1911.64	2053.37	2075.65	1790.03	2030.39	2380.92	2532.08	2153.63	2464.22	2328.03	2884.49	1734.69	1575.57	2391.79	1271.36	2355.71	2541.79	1702.64	2208.93	1765.13	1175.26	1316.21	1512.14	3001.31	1500.82	847.955	1292.29	2451.51	1615.65
MFAP1_HUMAN	86504.2	90552.8	86113.8	100649	106662	96894.7	92018.7	96853.8	102973	95333.3	91701.3	97713.6	92415.2	100026	94270.3	108567	90740.7	92708.9	94834.1	86381.7	95696.5	107632	112003	102033	80669.6	98092.8	116326	112847	87404.7	96707.2
MFAP4_HUMAN	2190.49	2411.22	2236.78	2844.9	2301.47	2105.17	2137.63	3533.64	1592.11	2220.93	1352.01	2277.93	2724.99	3381.57	2903.24	2100.47	2340.67	2592.04	2728.29	3294.78	1787.43	1286.14	3062.78	1619.44	1752.23	2540.41	2155.73	2893.22	1988.57	2483.44
MFGM_HUMAN	12178	7681.74	9766.84	11989.2	9529.41	9857.04	11700.2	8428.06	9508	8261.15	9549.1	10582	10222.3	10885.4	8135.39	7772.86	11489.6	9401.09	9923.14	8152.4	9947.15	8264.68	8661.7	6562.09	11108.5	12966.9	6625.34	10472.7	6646.37	7616.06
MFR1L_HUMAN	3858.23	3387.55	3573.96	3031.75	3108.64	3080.6	2376.83	3553.67	3611.16	3484.36	2412.65	3529.32	3259.27	3917.93	4020.6	2327.45	3590.22	3634.46	3928.43	3625.46	4627.88	3480.35	3500.52	3499.5	4176.98	4446.67	3786.54	4278.52	3114.58	3176.88
MFS10_HUMAN	1278.82	1535.15	1853.32	1436.2	1649.06	723.9	2100.65	2187.78	1762.66	1745.55	1379.46	1447.07	413.958	2052.93	1923.18	1567.09	1286.48	1470.39	1889.16	1057.44	1629.08	1524.98	670.022	1500.56	1742.51	1752.74	1197.89	1102.75	1228.92	1757.3
MGAP_HUMAN	39991.9	37756.2	36592.2	34426.2	34012.1	35310.9	35404.7	39035.4	36654.9	36888.6	35465	36315.9	32157	35773.4	33621.8	34277.6	35896.6	34448.4	34892.1	33439.4	33446.4	34896.2	32179.8	35296.1	35273.3	36242.7	33448.4	34573.9	33908.5	33644.2
MGAT1_HUMAN	36913.2	35303.4	37555.4	33389.7	37268	36879.1	32361.9	34985.4	35051.3	32597.9	29884.9	39487	34701.9	34512.6	37626.6	30329.1	37591.7	37126.1	39020.1	31343.8	29632.1	33333.8	25561	25995.9	38658.8	41791	29999.4	37358.9	33972.7	35579.8
