Protein.Names	X240301_RH4_DMSO_01	X240301_RH4_DMSO_02	X240301_RH4_DMSO_03	X240301_RH4_DMSO_04	X240301_RH4_DMSO_05	X240301_RH4_DMSO_06	X240301_RH4_DMSO_07	X240301_RH4_DMSO_08	X240301_RH4_DMSO_09	X240301_RH4_DMSO_10	X240301_RH4_DMSO_11	X240301_RH4_DMSO_12	X240301_RH4_IHK44_100nM_01	X240301_RH4_IHK44_100nM_02	X240301_RH4_IHK44_100nM_03	X240301_RH4_IHK44_100nM_04	X240301_RH4_IHK44_100nM_05	X240301_RH4_IHK44_100nM_06	X240301_RH4_IHK44_125nM_01	X240301_RH4_IHK44_125nM_02	X240301_RH4_IHK44_125nM_03	X240301_RH4_IHK44_125nM_04	X240301_RH4_IHK44_125nM_05	X240301_RH4_IHK44_125nM_06	X240301_RH4_IHK44_150nM_01	X240301_RH4_IHK44_150nM_02	X240301_RH4_IHK44_150nM_03	X240301_RH4_IHK44_150nM_04	X240301_RH4_IHK44_150nM_05	X240301_RH4_IHK44_150nM_06
LRBA_HUMAN	10862.2	NA	NA	NA	9496.34	13417.7	NA	NA	13672.3	NA	9665.89	NA	NA	NA	15494.6	NA	NA	NA	NA	NA	NA	13978	NA	16048.2	10608.8	NA	NA	NA	NA	10408.7
LRC15_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11257.5	13874.2	NA
MT1E_HUMAN;MT1G_HUMAN;MT1M_HUMAN;MT1X_HUMAN;MT2_HUMAN	NA	NA	762.861	NA	NA	NA	475.425	286.022	NA	NA	NA	NA	NA	NA	970.747	NA	280.622	795.166	855.691	NA	248.727	NA	NA	NA	499.154	1441.1	NA	519.574	NA	NA
MUT7_HUMAN	1046.86	NA	NA	NA	NA	NA	NA	1892.15	757.817	921.106	1278.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1292.8	NA	1203.13	NA	NA	NA	700.014	NA
NCEH1_HUMAN	NA	NA	NA	5847.45	4840.4	NA	NA	NA	NA	NA	NA	3936.63	NA	NA	6832.71	NA	NA	NA	NA	2415.45	NA	NA	NA	NA	NA	7483.35	NA	7808.55	4610.04	5273.53
NLRP1_HUMAN	NA	30137.2	32257.8	30416.5	NA	NA	27339.6	32386.7	22952.2	NA	NA	33725.4	NA	NA	26836.7	28408.8	30140.5	32494.8	NA	NA	NA	30623.2	NA	31830.1	29008.3	NA	25374.4	NA	34909.6	33942.3
NSN5B_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	10489.7	9049.14	NA	NA	NA	10310.1	NA	NA	10613.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUBP1_HUMAN	3937.2	3429.41	3455.89	3414.9	2326.58	2007.14	NA	NA	3777.79	2900.65	NA	1864.5	4104.61	NA	NA	5021.4	NA	NA	3172.57	2835.56	3422.22	NA	2987.44	NA	3294.76	NA	3817.02	3057.76	NA	NA
OGDHL_HUMAN	32422	33042.9	31367.7	25750.3	26555	32252.8	NA	NA	NA	NA	26749	NA	32593.1	NA	NA	NA	29511.7	NA	29491.7	NA	NA	NA	32558.8	NA	NA	NA	28090.7	30421.1	NA	NA
OR4K3_HUMAN	NA	NA	54677.2	64423.2	58366.2	58380.8	65054.5	NA	NA	55703.5	68781.6	NA	NA	NA	NA	NA	NA	NA	61328.6	NA	66068	NA	NA	65390.6	56263.3	NA	NA	NA	57049.8	66860.1
OSBP2_HUMAN	NA	NA	NA	NA	12164.4	8006.84	NA	NA	NA	NA	NA	NA	NA	10111.2	NA	10632.7	NA	NA	NA	NA	6634.42	8435.33	NA	8939.29	NA	NA	NA	NA	7873.34	NA
PAPP2_HUMAN	NA	26733.9	22135.2	30443.2	23965.6	NA	NA	NA	NA	NA	26381.4	15181.2	21585.5	18459.4	18658.5	29210.8	NA	20534	NA	NA	12773.4	NA	16025.6	NA	33633.4	31972.3	27912.1	19821	NA	NA
PASK_HUMAN	1468.36	738.015	810.204	NA	NA	505.811	1328.86	1076.26	1213.34	469.111	455.334	NA	NA	1518.03	517.473	NA	NA	NA	1231.92	1106.61	NA	892.155	NA	NA	688.619	NA	NA	NA	NA	698.718
